buildings,production_method_groups,production_methods,type,required_construction,ammunition,small_arms,artillery,tanks,aeroplanes,manowars,ironclads,grain,fish,fabric,wood,groceries,clothes,furniture,paper,services,transportation,electricity,merchant_marine,clippers,steamers,silk,dye,sulfur,coal,iron,lead,hardwood,rubber,oil,engines,steel,glass,fertilizer,tools,explosives,porcelain,meat,fruit,liquor,wine,tea,coffee,sugar,tobacco,opium,automobiles,telephones,radios,luxury_clothes,luxury_furniture,gold,fine_art,air_travel,good_uranium,elgar_instruments,elgar_music,manzoni_prints
building_furniture_manufactory,pmg_base_building_furniture_manufactory,pm_mechanized_workshops,base,construction_cost_high,,,,,,,,,,-10,-50,,,110,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,
building_furniture_manufactory,pmg_luxury_building_furniture_manufactory,pm_no_luxuries,refining,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_furniture_manufactory,pmg_luxury_building_furniture_manufactory,pm_luxury_furniture,refining,construction_cost_high,,,,,,,,,,,15,,,-25,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
building_furniture_manufactory,pmg_luxury_building_furniture_manufactory,pm_precision_tools,refining,construction_cost_high,,,,,,,,,,,25,,,-55,,,,,,,,,,,,,,-25,,,,,,,-10,,,,,,,,,,,,,,,,55,,,,,,,
building_furniture_manufactory,pmg_automation_building_furniture_manufactory,pm_automation_disabled,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_furniture_manufactory,pmg_automation_building_furniture_manufactory,pm_watertube_boiler_building_furniture_manufactory,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_furniture_manufactory,pmg_automation_building_furniture_manufactory,pm_rotary_valve_engine_building_furniture_manufactory,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_furniture_manufactory,pmg_automation_building_furniture_manufactory,pm_assembly_lines_building_furniture_manufactory,automation,construction_cost_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,-5,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_base_building_glassworks,pm_forest_glass,base,construction_cost_high,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_base_building_glassworks,pm_leaded_glass,base,construction_cost_high,,,,,,,,,,,-20,,,,,,,,,,,,,,,,-10,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_base_building_glassworks,pm_crystal_glass,base,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,-35,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_base_building_glassworks,pm_houseware_plastics,base,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,-30,,,-20,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_luxury_building_glassworks,pm_disabled_ceramics,refining,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_luxury_building_glassworks,pm_ceramics,refining,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,-10,,,,10,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_luxury_building_glassworks,pm_bone_china,refining,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-20,,,,30,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_glassblowing,pm_manual_glassblowing,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_glassworks,pmg_glassblowing,pm_automatic_bottle_blowers,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-2,,,,-2,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_base_building_tooling_workshop,pm_crude_tools,base,construction_cost_high,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_base_building_tooling_workshop,pm_pig_iron,base,construction_cost_high,,,,,,,,,,,-30,,,,,,,,,,,,,,,-20,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_base_building_tooling_workshop,pm_steel,base,construction_cost_high,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,-20,,,80,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_base_building_tooling_workshop,pm_rubber_grips,base,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,-30,,,110,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_automation_building_tooling_workshop,pm_automation_disabled,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_automation_building_tooling_workshop,pm_watertube_boiler_building_tooling_workshop,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_automation_building_tooling_workshop,pm_rotary_valve_engine_building_tooling_workshop,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_tooling_workshop,pmg_automation_building_tooling_workshop,pm_assembly_lines_building_tooling_workshop,automation,construction_cost_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_paper_mill,pmg_base_building_paper_mill,pm_pulp_pressing,base,construction_cost_high,,,,,,,,,,,-30,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,base,construction_cost_high,,,,,,,,,,,-30,,,,70,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_paper_mill,pmg_base_building_paper_mill,pm_bleached_paper,base,construction_cost_high,,,,,,,,,,,-30,,,,100,,,,,,,,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_paper_mill,pmg_automation_building_paper_mill,pm_automation_disabled,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_paper_mill,pmg_automation_building_paper_mill,pm_watertube_boiler_building_paper_mill,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_paper_mill,pmg_automation_building_paper_mill,pm_rotary_valve_engine_building_paper_mill,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_chemical_plant,pmg_fertilizer_production,pm_artificial_fertilizers,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-30,,-10,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,
building_chemical_plant,pmg_fertilizer_production,pm_improved_fertilizer,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-30,,-30,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,
building_chemical_plant,pmg_fertilizer_production,pm_nitrogen_fixation,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-40,,-30,,,,-20,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_leblanc_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,-20,,50,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_ammonia,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,soda_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_vacuum_evaporation,base,construction_cost_very_high,,,,,,,,,,,,,,,-20,,,,,,,,,-40,,,,,,,,,,-40,,110,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_brine_electrolysis,base,construction_cost_very_high,,,,,,,,,,,,,,,-30,,,-20,,,,,,-40,,,,,,,,,,-50,,150,,,,,,,,,,,,,,,,,,,,,,
building_synthetics_plant,pmg_synthetic_dyes,pm_dye_production,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,80,-20,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,
building_synthetics_plant,pmg_synthetic_silk,pm_no_artificial_fibers,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_synthetics_plant,pmg_synthetic_silk,pm_rayon,refining,construction_cost_very_high,,,,,,,,,,,-10,,,,,,,,,,,30,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_steel_mill,pmg_steelmaking_process,pm_blister_steel_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-30,-40,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,
building_steel_mill,pmg_steelmaking_process,pm_bessemer_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-30,-60,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,
building_steel_mill,pmg_steelmaking_process,pm_open_hearth_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-30,-90,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,
building_steel_mill,pmg_steelmaking_process,pm_electric_arc_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-30,,,,,,,-30,-100,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,
building_steel_mill,pmg_automation_building_steel_mill,pm_automation_disabled,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_steel_mill,pmg_automation_building_steel_mill,pm_watertube_boiler_building_steel_mill,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_steel_mill,pmg_automation_building_steel_mill,pm_rotary_valve_engine_building_steel_mill,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_motor_industry,pmg_base_building_motor_industry,pm_steam_engines,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
building_motor_industry,pmg_base_building_motor_industry,pm_electric_engines,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,,80,-40,,,,,,,,,,,,,,,,,,,,,,,,,,
building_motor_industry,pmg_base_building_motor_industry,pm_diesel_engines,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,120,-50,,,,,,,,,,,,,,,,,,,,,,,,,,
building_motor_industry,pmg_automation_building_motor_industry,pm_automation_disabled,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_motor_industry,pmg_automation_building_motor_industry,pm_watertube_boiler_building_motor_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_motor_industry,pmg_automation_building_motor_industry,pm_rotary_valve_engine_building_motor_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_motor_industry,pmg_automation_building_motor_industry,pm_assembly_lines_building_motor_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,-5,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_shipyard,pmg_base_building_shipyard,pm_basic_shipbuilding,base,construction_cost_high,,,,,,,,,,-20,-40,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_shipyard,pmg_base_building_shipyard,pm_complex_shipbuilding,base,construction_cost_high,,,,,,,,,,-20,-20,,,,,,,,,70,,,,,,,,-20,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_shipyard,pmg_base_building_shipyard,pm_metal_shipbuilding,base,construction_cost_high,,,,,,,,,,,,,,,,,,,,,65,,,,-10,,,,,,-10,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
building_shipyard,pmg_base_building_shipyard,pm_arc_welding_shipbuilding,base,construction_cost_high,,,,,,,,,,,,,,,,,,-30,,,80,,,,,,,,,,-10,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
building_military_shipyard,pmg_military_base,pm_military_shipbuilding_wooden,military,construction_cost_very_high,,,,,,35,,,,-20,,,,,,,,,,,,,,,,-10,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_military_shipyard,pmg_military_base,pm_military_shipbuilding_wooden_2,military,construction_cost_very_high,,,,,,45,,,,-10,,,,,,,,,,,,,,,,-10,,-30,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_military_shipyard,pmg_military_base,pm_military_shipbuilding_steam,military,construction_cost_very_high,,,,,,,55,,,,,,,,,,,,,,,,,,-20,,,,,,-10,-40,,,,,,,,,,,,,,,,,,,,,,,,,,
building_military_shipyard,pmg_military_base,pm_military_shipbuilding_steam_2,military,construction_cost_very_high,,,,,,,70,,,,,,,,,,,-30,,,,,,,,,,,,,-20,-40,,,,,,,,,,,,,,,,,,,,,,,,,,
building_automotive_industry,pmg_automobile_production,pm_automobile_production,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-5,-10,,,,,,,,,,,,,,,,30,,,,,,,,,,,
building_automotive_industry,pmg_automobile_production,pm_mass_automobile_production,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,-10,-10,,,,,,,,,,,,,,,,50,,,,,,,,,,,
building_automotive_industry,pmg_aeroplanes,pm_no_aeroplane_production,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_automotive_industry,pmg_aeroplanes,pm_aeroplane_production,base,construction_cost_very_high,,,,,10,,,,,-4,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,
building_automotive_industry,pmg_tanks,pm_no_tank_production,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_automotive_industry,pmg_tanks,pm_tank_production,refining,construction_cost_very_high,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,-20,,,,,,,,,,,
building_automotive_industry,pmg_automation_building_automotive_industry,pm_automation_disabled,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_automotive_industry,pmg_automation_building_automotive_industry,pm_assembly_lines_building_automotive_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,-5,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_telephones_category,pm_telephones,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,-20,-20,,-20,,,,,,-10,,,,,,,,,,,,,60,,,,,,,,,,
building_electrics_industry,pmg_radios_category,pm_no_radios,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_radios_category,pm_radios,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,40,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_muskets,base,construction_cost_high,,30,,,,,,,,,,,,,,,,,,,,,,,,-10,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_rifles,base,construction_cost_high,,50,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,-10,,,-5,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_repeaters,base,construction_cost_high,,70,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,-20,,,-10,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_bolt_action_rifles,base,construction_cost_high,,100,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,-10,,-20,,,-20,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_automation_building_arms_industry,pm_automation_disabled,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_automation_building_arms_industry,pm_rotary_valve_engine_building_arms_industry,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_automation_building_arms_industry,pm_assembly_lines_building_arms_industry,automation,construction_cost_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_artillery_foundry,pmg_foundries,pm_cannons,base,construction_cost_high,,,25,,,,,,,,,,,,,,,,,,,,,,,-15,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_artillery_foundry,pmg_foundries,pm_smoothbores,base,construction_cost_high,,,45,,,,,,,,,,,,,,,,,,,,,,,-25,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_artillery_foundry,pmg_foundries,pm_breech_loaders,base,construction_cost_high,,,65,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,-25,,,-10,,,,,,,,,,,,,,,,,,,,,,,
building_artillery_foundry,pmg_foundries,pm_recoiled_barrels,base,construction_cost_high,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,-40,,,-20,,,,,,,,,,,,,,,,,,,,,,,
building_artillery_foundry,pmg_automation_building_arms_industry,pm_automation_disabled,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_artillery_foundry,pmg_automation_building_arms_industry,pm_rotary_valve_engine_building_arms_industry,automation,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_artillery_foundry,pmg_automation_building_arms_industry,pm_assembly_lines_building_arms_industry,automation,construction_cost_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_munition_plant,pmg_base_building_munition_plant,pm_percussion_caps,base,construction_cost_very_high,50,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,
building_munition_plant,pmg_base_building_munition_plant,pm_explosive_shells,base,construction_cost_very_high,90,,,,,,,,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,-40,,,,,,,,,,,,,,,,,,,,,,
building_munition_plant,pmg_automation_building_munition_plant,pm_automation_disabled,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_munition_plant,pmg_automation_building_munition_plant,pm_rotary_valve_engine_building_munition_plant,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_munition_plant,pmg_automation_building_munition_plant,pm_assembly_lines_building_munition_plant,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_rye_farm,pmg_base_building_rye_farm,pm_simple_farming,base,construction_cost_low,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_rye_farm,pmg_base_building_rye_farm,pm_soil_enriching_farming,base,construction_cost_low,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,
building_rye_farm,pmg_base_building_rye_farm,pm_fertilization,base,construction_cost_low,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,
building_rye_farm,pmg_base_building_rye_farm,pm_chemical_fertilizer,base,construction_cost_low,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,
building_rye_farm,pmg_secondary_building_rye_farm,pm_no_secondary,refining,construction_cost_low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_rye_farm,pmg_secondary_building_rye_farm,pm_potatoes,refining,construction_cost_low,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
